GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
queensfarming-application,de.dhbw.ase.usecases,HandelGemüseImpl,134,0,4,0,29,0,5,0,3,0
queensfarming-application,de.dhbw.ase.usecases,AgrarModulImpl,105,96,10,6,22,22,8,3,1,2
queensfarming-application,de.dhbw.ase.usecases,FabrikModulImpl,21,228,6,8,6,51,6,10,0,9
queensfarming-application,de.dhbw.ase.usecases,KaufeLandImpl,93,0,4,0,22,0,4,0,2,0
queensfarming-application,de.dhbw.ase.repository,FabrikRepositoryImpl,53,0,8,0,13,0,8,0,4,0
queensfarming-application,de.dhbw.ase.repository,SpielRepositoryImpl,0,31,0,4,0,10,0,6,0,4
queensfarming-application,de.dhbw.ase.repository,MarktRepositoryImpl,31,0,4,0,10,0,6,0,4,0
queensfarming-application,de.dhbw.ase.repository,SpielfeldRepositoryImpl,61,0,8,0,15,0,9,0,5,0
queensfarming-application,de.dhbw.ase.repository,SpielerManagerRepositoryImpl,0,60,0,8,0,15,0,8,0,4
